경작지주소,산도,유기물,칼륨,강수량 합계,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Oct,20-Nov,20-Dec,2020-01-01(평균기온),2020-02-01(평균기온),2020-03-01(평균기온),2020-04-01(평균기온),2020-05-01(평균기온),2020-06-01(평균기온),2020-10-01(평균기온),2020-11-01(평균기온),2020-12-01(평균기온),2020-01-01(최저기온),2020-02-01(최저기온),2020-03-01(최저기온),2020-04-01(최저기온),2020-05-01(최저기온),2020-06-01(최저기온),2020-10-01(최저기온),2020-11-01(최저기온),2020-12-01(최저기온),2020-01-01(최고기온),2020-02-01(최고기온),2020-03-01(최고기온),2020-04-01(최고기온),2020-05-01(최고기온),2020-06-01(최고기온),2020-10-01(최고기온),2020-11-01(최고기온),2020-12-01(최고기온),최저라벨,최고기온,평균기온,강수량라벨,최종라벨링
강원도 인제군 기린면 방동리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 기린면 북리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 기린면 서리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 기린면 진동리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 기린면 현리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 남면 갑둔리,good_ph,usually_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 남면 관대리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 남면 남전리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 남면 부평리,high_ph,3,3,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 남면 상수내리,good_ph,3,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 남면 소치리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 남면 수산리,good_ph,3,usually_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 남면 신남리,high_ph,good_orga,usually_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 남면 신월리,good_ph,3,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 남면 신풍리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 남면 어론리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 남면 정자리,good_ph,good_orga,usually_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 북면 용대리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 북면 원통리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 북면 월학리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 북면 한계리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 상남면 미산리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 상남면 상남리,good_ph,good_orga,usually_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 상남면 하남리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 서화면 가전리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 서화면 서화리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 서화면 서흥리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 서화면 심적리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 서화면 천도리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 인제읍 가리산리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 인제읍 가아리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 인제읍 고사리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 인제읍 귀둔리,good_ph,good_orga,usually_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 인제읍 남북리,good_ph,usually_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 인제읍 덕산리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 인제읍 덕적리,good_ph,good_orga,usually_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 인제읍 상동리,good_ph,3,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 인제읍 원대리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 인제읍 하추리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 인제군 인제읍 합강리,good_ph,good_orga,good_pot,443.0,83.3,43.6,17.6,33.9,140.8,58.5,0.7,59.8,4.8,-0.1,0.8,5.8,9.0,16.6,22.6,11.0,5.8,-2.6,-10.8,-14.0,-6.4,-4.1,5.4,12.7,-1.3,-6.8,-16.7,12.2,15.9,23.5,23.1,29.7,35.1,23.4,19.7,10.5,0,0,0,0,0
강원도 정선군 고한읍 고한리,high_ph,good_orga,good_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 남면 광덕리,good_ph,good_orga,usually_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 남면 낙동리,good_ph,good_orga,good_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 남면 무릉리,good_ph,3,usually_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 남면 문곡리,good_ph,3,good_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 남면 유평리,good_ph,good_orga,good_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 북평면 나전리,good_ph,3,usually_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 북평면 남평리,good_ph,good_orga,good_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 북평면 문곡리,good_ph,good_orga,good_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 북평면 북평리,good_ph,good_orga,good_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 북평면 숙암리,high_ph,3,usually_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 북평면 장열리,good_ph,good_orga,good_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 사북읍 사북리,good_ph,good_orga,usually_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 사북읍 직전리,good_ph,good_orga,usually_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 신동읍 고성리,good_ph,good_orga,good_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 신동읍 덕천리,good_ph,good_orga,good_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 신동읍 방제리,good_ph,7,usually_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 신동읍 예미리,high_ph,3,good_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 신동읍 운치리,good_ph,good_orga,good_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 신동읍 조동리,good_ph,usually_orga,good_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 여량면 고양리,good_ph,good_orga,3,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 여량면 구절리,good_ph,usually_orga,good_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 여량면 남곡리,good_ph,good_orga,good_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 여량면 봉정리,good_ph,good_orga,good_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 여량면 여량리,good_ph,good_orga,good_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 여량면 유천리,good_ph,usually_orga,good_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 임계면 가목리,good_ph,good_orga,usually_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
강원도 정선군 임계면 고양리,high_ph,good_orga,good_pot,495.8,79.7,46.8,16.9,20.9,161.7,92.2,4.1,72.3,1.2,-0.5,0.9,6.1,8.8,16.5,22.3,11.2,5.9,-3.1,-10.7,-13.3,-6.5,-3.3,5.8,10.8,-1.3,-5.7,-17.8,12.4,15.9,23.5,24.9,29.1,36.0,25.1,21.2,9.9,0,0,0,0,0
